TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
"MEDICAMENTO";" (VITAMINAS A )  +  ASSSOCIAC?ES";"25/04/2000";"SIMILAR";104540166;"01/04/2005";"250000254169821";"VITAMINAS E SUPLEMENTOS MINERAIS";"60874187000184 - DAIICHI SANKYO BRASIL FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" AC SALICILICO + AC BENZOICO + IODO";"19/05/2000";"SIMILAR";119350001;"01/05/2005";"2501017185899";"ANTIMICOTICOS PARA USO TOPICO";"63826069000199 - LABORATORIO FLORA DA AMAZONIA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" ALENDRONATO SODICO";"04/06/2001";"SIMILAR";100470305;"01/05/2006";"253510228050056";"SUPRESSORES DA REABSORCAO OSSEA";"61286647000116 - SANDOZ DO BRASIL IND?STRIA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" ARNICA MONTANA";"19/03/2002";"FITOTER?PICO";104730021;"01/03/2007";"2502500782199";"FITOTERAPICO SIMPLES";"92762277000170 - VIDORA FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" ARNICA MONTANA L.";"01/07/2002";"FITOTER?PICO";131750004;"01/06/2007";"253510326310184";"FITOTERAPICO SIMPLES";"00925697000101 - LIMED LABORATORIO INDUSTRIAL DE MEDICAMENTOS LTDA ME";"CADUCO/CANCELADO";
"MEDICAMENTO";" BUPIVACAINA + EPINEFRINA";"07/06/2001";"SIMILAR";105530205;"01/05/2006";"250000075329505";"ANESTESICOS";"56998701000116 - ABBOTT LABORAT?RIOS DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" CETOCONAZOL";"23/10/2002";"SIMILAR";146950014;"01/10/2007";"253510076030228";"ANTIMICOTICO";"02195505000184 - LABORAT?RIO INDUSTRIAL E FARMAC?UTICO BUCAR LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" CLORETO DE CETILPIRIDINIO + BENZOCAINA";"25/04/2001";"SIMILAR";105830111;"01/12/2005";"2599201688669";"ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE";"45992062000165 - GERMED FARMACEUTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" CLORETO DE SODIO";"18/04/2002";"SIMILAR";151700006;"01/04/2007";"253510328470111";"REIDRATANTES PARENTERAIS";"02281006000100 - ISOFARMA INDUSTRIAL FARMAC?UTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE)";"21/01/2002";"SIMILAR";120690008;"01/01/2012";"2502500315494";"DILUENTES E VEICULOS DE MEDICAMENTOS + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR";"94869054000131 - LABORAT?RIOS LIBRA DO BRASIL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" DIPIRONA";"31/05/2001";"SIMILAR";140750001;"01/05/2006";"253510128230010";"ANALGESICOS";"86581949000148 - J. COUTINHO INDUSTRIA FARMACEUTICA LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" EUCALYPTUS GLOBULUS  LABILL.";"05/08/2002";"FITOTER?PICO";121070001;"01/08/2007";"253510071820271";"FITOTERAPICO SIMPLES";"49345358000145 - APIS FLORA INDUSTRIAL  E COMERCIAL LTDA";"CADUCO/CANCELADO";
"MEDICAMENTO";" GINKGO BILOBA";"17/08/2001";"FITOTER?PICO";107740002;"01/08/2006";"253510045430119";"FITOTERAPICO SIMPLES";"92751965000134 - LABORAT?RIO CANGERI LTDA";"CADUCO/CANCELADO";
